"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
1272.00,11.129
1273.00,11.075
1274.00,11.045
1275.00,11.041
1276.00,11.097
1277.00,11.115
1278.00,11.122
1279.00,11.099
1280.00,11.093
1281.00,11.101
1282.00,11.140
1283.00,11.140
1284.00,11.157
1285.00,11.141
1286.00,11.166
1287.00,11.168
1288.00,11.194
1289.00,11.201
1290.00,11.207
1291.00,11.179
1292.00,11.176
1293.00,11.177
1294.00,11.208
1295.00,11.184
1296.00,11.164
1297.00,11.141
1298.00,11.147
1299.00,11.201
1300.00,11.255
1301.00,11.304
1302.00,11.270
1303.00,11.227
1304.00,11.180
1305.00,11.221
1306.00,11.213
1307.00,11.248
1308.00,11.236
1309.00,11.314
1310.00,11.338
1311.00,11.323
1312.00,11.319
1313.00,11.289
1314.00,11.319
1315.00,11.265
1316.00,11.296
1317.00,11.311
1318.00,11.352
1319.00,11.364
1320.00,11.378
1321.00,11.360
1322.00,11.372
1323.00,11.388
1324.00,11.411
1325.00,11.427
1326.00,11.425
1327.00,11.454
1328.00,11.436
1329.00,11.429
1330.00,11.423
1331.00,11.441
1332.00,11.433
1333.00,11.421
1334.00,11.447
1335.00,11.487
1336.00,11.529
1337.00,11.514
1338.00,11.500
1339.00,11.476
1340.00,11.481
1341.00,11.486
1342.00,11.551
1343.00,11.541
1344.00,11.556
1345.00,11.542
1346.00,11.549
1347.00,11.553
1348.00,11.536
1349.00,11.554
1350.00,11.580
1351.00,11.575
1352.00,11.579
1353.00,11.564
1354.00,11.602
1355.00,11.609
1356.00,11.623
1357.00,11.605
1358.00,11.630
1359.00,11.657
1360.00,11.664
1361.00,11.639
1362.00,11.667
1363.00,11.690
1364.00,11.708
1365.00,11.651
1366.00,11.644
1367.00,11.656
1368.00,11.675
1369.00,11.666
1370.00,11.679
1371.00,11.700
1372.00,11.727
1373.00,11.679
1374.00,11.615
1375.00,11.583
1376.00,11.568
1377.00,11.581
1378.00,11.599
1379.00,11.678
1380.00,11.678
1381.00,11.706
